> ORDER-164 Full Parameter Registry - ea_template/core/Inputs.mqh
> Snapshot commit: 733c1db76ea3bcb8e99b7604ee97fe2724459bf9 (last commit touching Inputs.mqh as of registry build; committed 2026-07-23T08:21:21+07:00)
> Registry built: 2026-07-23 (Sonnet, per AGENT_TASKBOARD.md ORDER-164)
> Row count: 183 real inputs = 183/183 COMPLETE as of PARAM-SYNC-004 (2026-07-24). Verify with: compare the identifiers from lines matching '^input ' minus 'input group' in ea_template/core/Inputs.mqh against this file's name column with any [LAB_ENTRY_nn] suffix stripped - the diff must be empty both ways.
> PARAM-SYNC-004 (2026-07-24, Fable-seat): the ORDER-161 moving-target gap is CLOSED. Appended the 6 rows that were deliberately excluded from the ORDER-164 snapshot (_43_LotPerAnchor, _43_BalanceAnchor, _2_BasketTP_BalPct, _32_SL_BalPct, _57_DynCloseBalPct, _8_DDRefBalPct - they live at the END of this file, not in category order) and rewrote the FirstLotMode / _41_FixedLot / _42_RiskPct rows, whose "silently falls back to _41_FixedLot" wording described behavior that MM-SAFETY-001 deleted on the same day. Inputs.mqh line numbers in the 3 rewritten rows + the 6 new rows are from the WORKING TREE at 2026-07-24; the other ~174 rows still cite the ORDER-164 pinned commit and have drifted by ~16 lines.
> Methodology: every owner / active_when / coupled_parameters / causal_question cell was traced by reading the actual code in ea_template/core/*.mqh and ea_template/core/entries/*.mqh at the pinned commit (the 4 files a concurrent session has modified in the working tree - ExitManager.mqh, MoneyManagement.mqh, Recovery.mqh, Inputs.mqh - were re-extracted from git at the same pinned hash so this registry is internally consistent to one commit). Nothing here is inferred from the inline Inputs.mqh comment alone; comments were cross-checked against the switch/if logic that actually reads each identifier. A full-corpus grep pass (177 unique identifiers) was run to confirm none are zero-usage outside their declaration.
> default_profile / optimize_stage / safe_range are UNKNOWN unless a citable source is named in the cell itself (an order, a scorecard row, a doc, or an explicit code clamp). No value in those 3 columns was guessed - see CLAUDE.md hard rule + ORDER-164 "forbidden" list.
> Classification legend: ACTIVE = has real, reachable effect in the current code. INACTIVE = declared but never read, or read only behind a condition that is permanently false for that build. OVERRIDE = supersedes another named input under some condition. COMPATIBILITY = kept only for old .set file compatibility, not meant to be tuned (none found in this codebase - see summary note at end of file).
> SELF-CHECK (required by ORDER-164 spec): RecoveryMode values 82 (REC_ADAPTIVE) and 83 (REC_AGGRESSIVE) are classified ACTIVE below, tagged ENGINE-EDGE. Traced directly to Recovery.mqh:46-69 (pinned snapshot) - Recovery_AddLot() has real case-branch logic for both (82 = DD-scaled multiplier vs _8_DDRefMoney, clamped by RC_RecMultMax; 83 = geometric MathPow(m,rstep) escalation, clamped by RC_RecMultMax), with no early-return gate blocking either branch. The old "(stub)" / "(stub, gated)" labels were factually wrong and were corrected in ORDER-160 (comment-only fix, committed in this same pinned hash 733c1db7). This matches the finding trail in _triage/ORDER158_RECOVERY_STUB_LABEL_FINDING.md.
name,owner,unit,context,active_when,coupled_parameters,default_profile,optimize_stage,safe_range,causal_question,classification,classification_note
"_MG_TriggerRiskOff","LabCore.mqh (passed to MG_Setup -> mg_triggerRiskOff); MacroGate_Core.mqh (MG_StateTriggers)","bool","execution (macro gate)","_MG_SelfGate=true","_MG_BlockNew; _MG_LotMult","true - Inputs.mqh:533","UNKNOWN","UNKNOWN","Whether the RISK_OFF regime state (not just STRESS) triggers the gate.","ACTIVE",""
"_MG_OffsetHours","LabCore.mqh (passed to MG_Setup -> mg_offsetHours); MacroGate_Core.mqh (MG_LoadRegime timestamp shift)","hours","execution (macro gate)","_MG_SelfGate=true","none direct","0 - Inputs.mqh:534","UNKNOWN","UNKNOWN","Hour offset applied to the CSV timeline timestamps to align with server time (daily granularity: usually 0).","ACTIVE",""
"_0_Magic","Execution.mqh (Exec_PosIsMine/Exec_OrdIsMine scoping, g_trade.SetExpertMagicNumber); Persist.mqh (Persist_ScopeId, Persist_LegacyKey - every persisted key is scoped by this); LabCore.mqh (OnInit magic-collision fail-closed guard against the compiled default 990001)","integer (magic number)","execution/safety","always","every position/order-ownership check and every persisted GlobalVariable key in the codebase","990001 (compiled default; OnInit REFUSES to attach live/demo on this exact value - tester exempt)","UNKNOWN","UNKNOWN","Identifies which positions/orders/persisted state belong to this EA instance; the compiled default is deliberately refused on any live/demo attach (ORDER-129 magic-collision guard).","ACTIVE",""
"_0_Slippage","Execution.mqh (Exec_Init - g_trade.SetDeviationInPoints)","points (max slippage)","execution","always - applied to every live order via CTrade","none direct","20 - Inputs.mqh:539","UNKNOWN","UNKNOWN","Maximum allowed slippage in points for every order sent through CTrade.","ACTIVE",""
"_0_MaxSpread","Execution.mqh (Exec_SpreadOK, checked in both Exec_Open and Exec_PlacePending)","points (broker SYMBOL_SPREAD units)","execution","this value >0 (0=ignore/off, the historical no-op default)","none direct","0 (ignore) - Inputs.mqh:540","UNKNOWN","UNKNOWN","Blocks NEW market/pending order placement (not management/exits) when the current spread exceeds this many points; an already-accepted GTC pending can still fill later at a wider spread.","ACTIVE","was a declared-but-never-read no-op input before ORDER-129 wired Exec_SpreadOK() in - now genuinely live"
"_43_LotPerAnchor","MoneyManagement.mqh (MM_ConfigValid, MM_FirstLot)","lots per one _43_BalanceAnchor of balance","mm","FirstLotMode==FIRSTLOT_BALANCE(43) only - inert under 41/42, and inert on build 16 (Kangaroo lot law)","_43_BalanceAnchor(the pair is meaningless alone); FirstLotMode; _4_DdAdaptive*(multiplier applied after); RC_MaxLot(final clamp); LotProg 5x + RecoveryMode 8x both compound off the result","0.01 - Inputs.mqh:432","UNKNOWN","UNKNOWN","Numerator of the balance-scaled first lot: lot = _43_LotPerAnchor x (balance / _43_BalanceAnchor). Doubling it doubles every first order at the same balance.","ACTIVE","must be > 0 when mode 43 is selected - MM_ConfigValid fails the attach otherwise (MM-SAFETY-001)"
"_43_BalanceAnchor","MoneyManagement.mqh (MM_ConfigValid, MM_FirstLot)","money (account currency, AS THE ACCOUNT DISPLAYS IT)","mm","FirstLotMode==FIRSTLOT_BALANCE(43) only - inert under 41/42, and inert on build 16 (Kangaroo lot law)","_43_LotPerAnchor(the pair is meaningless alone); FirstLotMode; RC_MaxLot(final clamp)","1000.0 - Inputs.mqh:433","UNKNOWN","UNKNOWN","Denominator of the balance-scaled first lot. ACCOUNT-SPECIFIC: a cent account showing a $1000 deposit as 100000 needs anchor=100000. The RATIO is portable, this number is NOT - one .set cannot serve USD and cent accounts without changing it (see the Account Profile table in EA_CORE_AND_TEMPLATE_GUIDE.md).","ACTIVE","must be > 0 when mode 43 is selected - MM_ConfigValid fails the attach otherwise (MM-SAFETY-001). Wrong-unit anchor = 100x lot, caught only by RC_MaxLot"
"_2_BasketTP_BalPct","ExitManager.mqh (Exit_BasketTargetMoney, via MM_BalancePct)","% of current balance","exit","this value >0. HIGHEST precedence of the three basket-TP inputs: _2_BasketTP_BalPct > _2_BasketTP_ATRmult > _2_BasketTP_Money (ExitManager.mqh:506)","_2_BasketTP_ATRmult and _2_BasketTP_Money(both OVERRIDDEN when this is >0); _2_PartialPct1/_2_PartialPct2(partial-close stages measure against the resolved target)","0 (off) - Inputs.mqh:347","UNKNOWN","UNKNOWN","Closes the whole basket once floating profit reaches this % of current balance. Portable across cent/USD accounts (a bare 25 means $25 on USD and $0.25 on cent) and auto-scales as the account grows.","ACTIVE","OVERRIDE: silently supersedes both legacy basket-TP inputs when set - the effective-config summary planned in CONFIG-007 should surface which one actually won"
"_32_SL_BalPct","ExitManager.mqh (Exit_BasketStopMoney - the single resolver feeding both Exit_SafetyMoneyStop and Exit_ManageBasket)","% of current balance","exit/safety","this value >0; independent of SLMode (basket-level stop, checked unconditionally). Wins over _32_SL_Money when set (ExitManager.mqh:526)","_32_SL_Money(OVERRIDDEN when this is >0); SLMode(unrelated - see the _32_SL_Money row); RC_KillDDPct(the cage hard-kill still fires independently and usually first)","0 (off) - Inputs.mqh:398","UNKNOWN","UNKNOWN","Basket-level money STOP expressed as % of current balance: force-closes the whole basket once floating loss reaches it. Portable across cent/USD and scales with the account.","ACTIVE","OVERRIDE over _32_SL_Money. Both call sites read the one resolver by design - a split-brain there would mean one path halts and the other does not"
"_57_DynCloseBalPct","ExitManager.mqh (Exit_DynCloseTargetMoney, via MM_BalancePct)","% of current balance","exit","_57_DynCloseOn=true AND this value >0. Resolves the BASE only; the per-order growth term (_57_DynCloseDivisor) is already unitless and untouched","_57_DynCloseBase(OVERRIDDEN when this is >0); _57_DynCloseOn(master switch); _57_DynCloseDivisor","0 (off) - Inputs.mqh:383","UNKNOWN","UNKNOWN","Base of the dynamic basket-close target as % of balance instead of absolute money: target = base + (openCount/divisor) x base. Makes the growing-target exit portable across cent/USD accounts.","ACTIVE","OVERRIDE over _57_DynCloseBase; inert unless _57_DynCloseOn"
"_8_DDRefBalPct","Recovery.mqh (Recovery_AddLot, REC_ADAPTIVE(82) case only, via MM_BalancePct)","% of current balance","recovery","RecoveryMode==REC_ADAPTIVE(82) AND this value >0. Wins over _8_DDRefMoney (Recovery.mqh:54-55)","_8_DDRefMoney(OVERRIDDEN when this is >0); RC_RecMultMax(clamps the resulting multiplier)","0 (off) - Inputs.mqh:509","UNKNOWN","UNKNOWN","Reference basket loss - as % of balance - that maps to a +1.0x add-lot multiplier for the ENGINE-EDGE mode-82 escalation: mult = 1 + basketDD/ref. Keeps the escalation curve from silently steepening after a deposit, which a fixed $100 reference does.","ACTIVE","OVERRIDE over _8_DDRefMoney; feeds an ENGINE-EDGE escalation formula - treat as a SAFETY-coupled parameter, not a free optimize dial"
"_16_BaseLotMode","entries/Kangaroo.mqh (Kangaroo_NextLot); MoneyManagement.mqh (MM_ConfigValid validates the anchor pair)","enum (0/1)","mm","build 16 only - Kangaroo owns the entry-16 lot law and LabCore short-circuits before MM_FirstLot, so the chassis FirstLotMode never applies here","_16_BaseLot(mode 0); _43_LotPerAnchor + _43_BalanceAnchor(mode 1, shared with chassis FirstLotMode=43); _16_LadderMult and _16_MaxLotPerOrder(applied AFTER this); RC_MaxLot(final clamp)","0 (flat) - Inputs.mqh:263","UNKNOWN","UNKNOWN","Chooses the entry-16 BASE order size: 0 = flat _16_BaseLot (default, unchanged), 1 = balance-scaled via the mode-43 anchor pair so the base order tracks account size. The ladder and the cage still apply on top either way.","ACTIVE","ORDER-190. Mode 1 fails CLOSED (returns 0 = order skipped) when balance or the anchor pair is unreadable - it never falls back to _16_BaseLot"
